DATE,TAVG
1990-01-01,5.93
1990-02-01,3.64
1990-03-01,7.34
1990-04-01,10.73
1990-05-01,13.04
1990-06-01,15.3
1990-07-01,18.53
1990-08-01,18.8
1990-09-01,15.71
1990-10-01,10.66
1990-11-01,8.07
1990-12-01,1.79
1991-01-01,3.26
1991-02-01,7.95
1991-03-01,6.03
1991-04-01,9.36
1991-05-01,12.66
1991-06-01,14.65
1991-07-01,17.75
1991-08-01,18.23
1991-09-01,15.37
1991-10-01,10.19
1991-11-01,8.06
1991-12-01,6.48
1992-01-01,7
1992-02-01,8.04
1992-03-01,9.58
1992-04-01,11.98
1992-05-01,13.36
1992-06-01,15.37
1992-07-01,18.61
1992-08-01,17.36
1992-09-01,14.86
1992-10-01,12.77
1992-11-01,9.38
1992-12-01,5.26
1993-01-01,3.84
1993-02-01,5.26
1993-03-01,8.14
1993-04-01,11.6
1993-05-01,14.9
1993-06-01,16.41
1993-07-01,17.18
1993-08-01,18.6
1993-09-01,13.73
1993-10-01,12.04
1993-11-01,7.07
1993-12-01,6.77
1994-01-01,7.18
1994-02-01,4.92
1994-03-01,9.72
1994-04-01,12.46
1994-05-01,14.55
1994-06-01,16.07
1994-07-01,18.42
1994-08-01,17.54
1994-09-01,15.35
1994-10-01,11.09
1994-11-01,5.97
1994-12-01,5.8
1995-01-01,5.59
1995-02-01,7.16
1995-03-01,8.02
1995-04-01,9.87
1995-05-01,14.21
1995-06-01,16.43
1995-07-01,18.13
1995-08-01,16.22
1995-09-01,16.67
1995-10-01,10.91
1995-11-01,9.43
1995-12-01,5.45
1996-01-01,3.75
1996-02-01,5.35
1996-03-01,7.7
1996-04-01,11.1
1996-05-01,11.89
1996-06-01,14.99
1996-07-01,17.54
1996-08-01,17.77
1996-09-01,13.97
1996-10-01,10.65
1996-11-01,6.02
1996-12-01,2.22
1997-01-01,5.06
1997-02-01,5.67
1997-03-01,7.53
1997-04-01,9.92
1997-05-01,14.58
1997-06-01,15.61
1997-07-01,17.62
1997-08-01,19.27
1997-09-01,16.2
1997-10-01,11.55
1997-11-01,8.47
1997-12-01,5.8
1998-01-01,5.72
1998-02-01,8.18
1998-03-01,8.72
1998-04-01,9.85
1998-05-01,13.31
1998-06-01,15.88
1998-07-01,18.6
1998-08-01,18.34
1998-09-01,16.09
1998-10-01,11.65
1998-11-01,8.68
1998-12-01,4.74
1999-01-01,5.89
1999-02-01,6.75
1999-03-01,7.13
1999-04-01,8.99
1999-05-01,11.35
1999-06-01,14.31
1999-07-01,16.78
1999-08-01,17.81
1999-09-01,14.55
1999-10-01,10.22
1999-11-01,8.97
1999-12-01,5.56
2000-01-01,4.44
2000-02-01,6.41
2000-03-01,7.65
2000-04-01,10.62
2000-05-01,12.15
2000-06-01,15.58
2000-07-01,17.3
2000-08-01,16.69
2000-09-01,15.07
2000-10-01,11.34
2000-11-01,5.91
2000-12-01,4.17
2001-01-01,5.68
2001-02-01,4.72
2001-03-01,7.73
2001-04-01,9.55
2001-05-01,12.54
2001-06-01,14.27
2001-07-01,16.88
2001-08-01,17.56
2001-09-01,14.73
2001-10-01,10.27
2001-11-01,8.62
2001-12-01,4.95
2002-01-01,5.29
2002-02-01,5.49
2002-03-01,5.05
2002-04-01,9.37
2002-05-01,11.97
2002-06-01,16.25
2002-07-01,17.61
2002-08-01,17.93
2002-09-01,15.25
2002-10-01,10.01
2002-11-01,8.68
2002-12-01,6.08
2003-01-01,7.68
2003-02-01,5.63
2003-03-01,8.44
2003-04-01,10.21
2003-05-01,12.87
2003-06-01,16.55
2003-07-01,18.63
2003-08-01,18.13
2003-09-01,15.78
2003-10-01,12.55
2003-11-01,5.55
2003-12-01,5.63
2004-01-01,5
2004-02-01,6.59
2004-03-01,9.29
2004-04-01,11.54
2004-05-01,13.97
2004-06-01,16.78
2004-07-01,19.26
2004-08-01,19.04
2004-09-01,14.65
2004-10-01,11.61
2004-11-01,7.61
2004-12-01,6.02
2005-01-01,4.85
2005-02-01,5.26
2005-03-01,9.35
2005-04-01,10.98
2005-05-01,14.74
2005-06-01,15.69
2005-07-01,17.93
2005-08-01,18.55
2005-09-01,14.35
2005-10-01,12.12
2005-11-01,6.32
2005-12-01,5.67
